Dissect Code,AssmtCode_1,Year,SiteCode,SiteYear,NUMDISSECTED PER HOST PER SITE ASS.,HOSTSPECIES,SITE VISIT,SVL,STAGE,MALF,SEX,DISSECTED,ALARIA,THICKIE,CLINO,ECHINO,FIB,GLOB,RIB,MANO,HAEMATO,HALIPEGUS,OSWALDO,OPALPREZ2,NYCTOPREZ2,TRITRICHPREZ2,GORGOD,NEMATODE,UNKN,LARVTREMRICH,LARVTREMTOT,BDPOS,BDZE,RVPOS,RVLOAD
5CN1_20130812_PSRE_001,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,19.5,META,FALSE,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.2610074404,0,0
5CN1_20130812_PSRE_009,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,18.98,META,FALSE,M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4.1256073117,0,0
5CN1_20130812_PSRE_013,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,19.36,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,91.5309095289,0,0
5CN1_20130812_PSRE_014,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,21.24,META,FALSE,M,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_PSRE_002,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,18.56,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_PSRE_004,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,14.78,META,FALSE,M,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1,8.6313651046,0,0
5CN1_20130812_PSRE_006,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,21.02,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.7915397578,0,0
5CN1_20130812_PSRE_008,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,18.91,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7022552247,0,0
5CN1_20130812_PSRE_012,5CN1_20130812,2013,5CN1,5CN1_2013,16,PSRE,2,21.51,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_001,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,19.46,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_002,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,22.03,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_005,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,21.81,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_006,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,20.58,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_008,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,17.09,META,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5CN1_20130812_TAGR_009,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,14.29,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_012,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,15.09,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_013,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,17.17,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_014,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,15.49,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TAGR_015,5CN1_20130812,2013,5CN1,5CN1_2013,15,TAGR,2,20.16,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TATO_001,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,17.97,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TATO_002,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,22.01,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0260435398
5CN1_20130812_TATO_003,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,25.88,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5CN1_20130812_TATO_004,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,21.02,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TATO_005,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,25.12,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
5CN1_20130812_TATO_006,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,21.27,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5CN1_20130812_TATO_007,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,24.01,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TATO_008,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,20.47,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5CN1_20130812_TATO_009,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,20.84,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
5CN1_20130812_TATO_011,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,26.33,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TATO_012,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,23.71,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN1_20130812_TATO_013,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,20.18,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0017569917
