ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
CA-PEAR,37.35302,-122.2565,,367,,,,,Pond,Permanent,Artificial,2012,N/A,That’s whats in there- cant fix the elevation or the missing information
Castle3,39.32384,-104.71928,,2033,2.00,370.15,,2278.80,Pond,Permanent,Artificial,2010,N/A,
Prairie2,39.30642,-104.71992,,2021,3.00,305.78,,3009.60,Pond,Permanent,Artificial,2010,N/A,
Prairie1,39.30806,-104.72062,,2018,2.00,321.87,,3798.50,,Permanent,Artificial,2010,N/A,
Castle1,39.39213,-104.73561,,1999,1.50,56.39,,112.90,Pond,Temporary,Natural,2010,N/A,
Castle4,39.33407,-104.73721,,2010,2.50,193.12,,1631.60,Pond,Temporary,Artificial,2010,N/A,
Bayou2,39.42849,-104.74213,,1860,2.50,402.34,,2384.50,Pond,Permanent,Artificial,2010,N/A,
Bayou1,39.42852,-104.74229,,1862,2.50,370.15,,1399.20,Pond,Permanent,Artificial,2010,N/A,
CO-RMA04,39.81228,-104.797982,,1615,1.52,,,,Pond,Permanent,Artificial,2007,N/A,
CO-RMA03,39.827232,-104.81064,,1607,0.25,,,,Pool,Temporary,Artificial,2007,N/A,
CO-7012,39.830853,-104.815231,,1603,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
Lake1,39.24155,-104.81537,,2097,0.50,81.99,,250.80,Pond,Temporary,Artificial,2010,N/A,
CO-RMA01,39.818268,-104.833997,,1612,1.00,,,,Pond,Temporary,Natural,2007,N/A,
CO-17094,40.405184,-104.8513,,1508,,,,,Pond,Permanent,Artificial,2007,N/A,
CO-5356,39.836165,-104.860054,,,0.60,,,,,,,2007,N/A,
CO-5356,39.836165,-104.860054,,,,,,7000.00,,,,2007,N/A,
Glendale,39.48723,-104.86887,,1923,0.10,273.59,,927.34,Pond,Temporary,Natural,2010,N/A,
CO-15265,40.42262,-104.929171,,,1.50,,,2509.00,Pond,Permanent,Artificial,2007,N/A,
6833,39.88441,-104.93184,,1567,,,,5198.00,Pond,Permanent,Artificial,2009,N/A,
6833,39.88441,-104.93184,,1567,,,,5144.00,Pond,Permanent,Artificial,2009,N/A,
6839,39.8826,-104.93443,,1569,,,,1838.00,Pond,Permanent,Artificial,2009,N/A,
6839,39.8826,-104.93443,,1569,,,,1919.00,Pond,Permanent,Artificial,2009,N/A,
Dawson,39.28391,-104.9348,,2010,2.50,193.12,,1385.40,Pond,Permanent,Artificial,2010,N/A,
CO-6790,39.892673,-104.936787,,1568,2.00,,,2817.00,Pond,Permanent,Artificial,2007,N/A,
CO-6790,39.892673,-104.936787,,1568,1.00,,,2681.00,Pond,Permanent,Artificial,2009,N/A,
6844,39.881846,-104.937088,,1580,2.00,,,3517.00,Pond,Permanent,Artificial,2007,N/A,
CO-6868,39.87244,-104.9539,,,1.00,,,4446.00,Pond,Permanent,Artificial,2007,N/A,
Perry2,39.24012,-104.95708,,1972,3.00,659.83,,11610.00,Pond,Permanent,Artificial,2010,N/A,
16264,40.626788,-104.969767,,1569,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
5344,39.83956,-104.97285,,5344,,,,5510.00,Pond,Permanent,Natural,2009,N/A,
5344,39.83956,-104.97285,,5344,,,,10573.00,Pond,Permanent,Natural,2009,N/A,
CO-16277,40.623881,-104.978986,,1557,,,,,Pond,Permanent,Artificial,2007,N/A,
Perry1,39.25562,-104.98961,,1963,3.00,772.49,,6314.00,Stream,Semi-permanent,Artificial,2010,N/A,
