SeineCode,Site Code,Sppcode,SizeStage,Count
5CN3_20130613_NS01-01,5CN3,PHSP,Small,1
5CN3_20130613_NS01-02,5CN3,PHSP,Small,5
5CN3_20130613_NS01-05,5CN3,GYRA,Small,1
5CN3_20130613_NS01-06,5CN3,GYRA,Small,1
5CN3_20130613_NS01-06,5CN3,PHSP,Small,2
5CN3_20130613_NS01-07,5CN3,GYRA,Small,1
5CN3_20130613_NS01-08,5CN3,GYRA,Large,1
5CN3_20130613_NS01-09,5CN3,PHSP,Large,2
5CN3_20130613_NS01-09,5CN3,GYRA,Medium,2
5CN3_20130613_NS01-09,5CN3,PHSP,Medium,2
5CN3_20130613_NS01-09,5CN3,PHSP,Small,4
5CN3_20130613_NS01-10,5CN3,GYRA,Small,2
5CN3_20130613_NS01-10,5CN3,PHSP,Small,2
5CN4_20130613_NS01-01,5CN4,PHSP,Small,9
5CN4_20130613_NS01-02,5CN4,LYCO,Small,40
5CN4_20130613_NS01-02,5CN4,PHSP,Small,30
5CN4_20130613_NS01-03,5CN4,PHSP,lg,2
5CN4_20130613_NS01-04,5CN4,LYCO,Small,1
5CN4_20130613_NS01-05,5CN4,LYCO,Small,95
5CN4_20130613_NS01-05,5CN4,PHSP,Small,9
5CN4_20130613_NS01-06,5CN4,LYCO,Small,6
5CN4_20130613_NS01-06,5CN4,PHSP,Small,1
5CN4_20130613_NS01-07,5CN4,PHSP,large,1
5CN4_20130613_NS01-08,5CN4,PHSP,Large,3
5CN4_20130613_NS01-08,5CN4,PHSP,Medium,1
5CN4_20130613_NS01-08,5CN4,LYCO,Small,3
5CN4_20130613_NS01-09,5CN4,PHSP,Large,1
5CN4_20130613_NS01-09,5CN4,LYCO,Small,3
5CN4_20130613_NS01-09,5CN4,PHSP,Small,1
Barn_20130514_NS01-01,Barn,HELI,Medium,1
Barn_20130514_NS01-01,Barn,GYRA,Small,9
Barn_20130514_NS01-01,Barn,PHSP,Small,1
Barn_20130514_NS01-03,Barn,GYRA,Small,2
Barn_20130514_NS01-03,Barn,PHSP,Small,1
Barn_20130514_NS01-04,Barn,PHSP,Small,3
Barn_20130514_NS01-05,Barn,PHSP,Medium,2
Barn_20130514_NS01-05,Barn,HELI,small,1
Barn_20130514_NS01-05,Barn,PHSP,Small,1
Barn_20130514_NS01-06,Barn,HELI,Medium,3
Barn_20130514_NS01-06,Barn,PHSP,Medium,1
Barn_20130514_NS01-06,Barn,GYRA,Small,6
Barn_20130514_NS01-06,Barn,HELI,Small,1
Barn_20130514_NS01-07,Barn,PHSP,Medium,5
Barn_20130514_NS01-09,Barn,GYRA,Large,4
Barn_20130514_NS01-09,Barn,HELI,Small,2
BASSGCP_20130510_NS01-02,BASSGCP,LYCO,Medium,1
BASSGCP_20130510_NS01-02,BASSGCP,GYRA,Small,10
BASSGCP_20130510_NS01-02,BASSGCP,LYCO,Small,1
BASSGCP_20130510_NS01-03,BASSGCP,HELI,Small,1
BASSGCP_20130510_NS01-05,BASSGCP,LYCO,Medium,2
BASSGCP_20130510_NS01-05,BASSGCP,GYRA,Small,6
BASSGCP_20130510_NS01-06,BASSGCP,GYRA,Small,3
BASSGCP_20130510_NS01-07,BASSGCP,GYRA,Small,3
BASSGCP_20130510_NS01-08,BASSGCP,LYCO,Medium,2
BASSGCP_20130510_NS01-08,BASSGCP,GYRA,Small,21
Beaver_20130514_NS01-01,Beaver,GYRA,Small,21
Beaver_20130514_NS01-01,Beaver,PHSP,Small,6
Beaver_20130514_NS01-02,Beaver,GYRA,Small,17
Beaver_20130514_NS01-02,Beaver,PHSP,Small,1
Beaver_20130514_NS01-03,Beaver,GYRA,Small,4
Beaver_20130514_NS01-03,Beaver,PHSP,Small,6
Beaver_20130514_NS01-04,Beaver,GYRA,Small,2
Beaver_20130514_NS01-04,Beaver,PHSP,Small,4
Beaver_20130514_NS01-05,Beaver,GYRA,Small,4
BNPND001_20130612_NS01-01,BNPND001,PHSP,Medium,15
BNPND001_20130612_NS01-01,BNPND001,LYCO,Small,2
BNPND001_20130612_NS01-01,BNPND001,PHSP,Small,3
BNPND001_20130612_NS01-03,BNPND001,LYCO,Medium,2
BNPND001_20130612_NS01-03,BNPND001,PHSP,Medium,12
BNPND001_20130612_NS01-04,BNPND001,PHSP,Medium,7
BNPND001_20130612_NS01-05,BNPND001,PHSP,Large,1
BNPND001_20130612_NS01-05,BNPND001,LYCO,Medium,1
BNPND001_20130612_NS01-05,BNPND001,PHSP,Medium,4
BNPND001_20130612_NS01-06,BNPND001,LYCO,Medium,1
BNPND001_20130612_NS01-06,BNPND001,PHSP,Medium,9
BNPND001_20130612_NS01-07,BNPND001,PHSP,Medium,10
BNPND001_20130612_NS01-08,BNPND001,PHSP,Small,1
BNPND001_20130612_NS01-09,BNPND001,PHSP,Medium,1
BNPND001_20130612_NS01-09,BNPND001,LYCO,Small,1
BNPND001_20130612_NS01-09,BNPND001,PHSP,Small,2
BNPND001_20130612_NS01-10,BNPND001,PHSP,Medium,31
BNPND001_20130612_NS01-10,BNPND001,LYCO,Small,4
BNPND002_20130521_NS01-01,BNPND002,GYRA,Small,3
BNPND002_20130521_NS01-01,BNPND002,LYCO,Small,1
BNPND002_20130521_NS01-02,BNPND002,HELI,Medium,3
BNPND002_20130521_NS01-02,BNPND002,GYRA,Small,9
BNPND002_20130521_NS01-03,BNPND002,HELI,Large,3
BNPND002_20130521_NS01-03,BNPND002,HELI,Medium,1
BNPND002_20130521_NS01-03,BNPND002,GYRA,Small,10
BNPND002_20130521_NS01-04,BNPND002,HELI,Large,8
BNPND002_20130521_NS01-04,BNPND002,HELI,Small,2
BNPND002_20130521_NS01-05,BNPND002,HELI,Large,6
BNPND002_20130521_NS01-05,BNPND002,HELI,Small,2
